% Flood Neural Network. Precipitate Dissolution Model Data File.
% Network architecture: 1:3 :1
% Effective activation energy: 158.47

% Column data: 
% 1. Experimental X
% 2. Experimental Y
-10.2398 0.0108324
-9.71392 0
-9.23978 0.0108324
-8.71392 0.0108324
-8.23978 0
-7.71392 0.0108324
-7.23978 0.10569
-6.71392 0.211379
-6.23978 0.200535
-8.5678 0.0216766
-8.04187 0.0216766
-7.56772 0.0921402
-7.04187 0.127366
-6.56773 0.200535
-6.04187 0.317069
-5.56773 0.398365
-5.04187 0.563685
-4.56773 0.739839
-7.17881 0.108395
-6.66154 0.224928
-6.17878 0.344167
-5.66154 0.471545
-5.17878 0.541997
-4.66154 0.67208
-4.1874 0.826557
-3.66154 0.964767
-3.17878 0.989161
-6.01998 0.249322
-5.50272 0.485095
-5.01996 0.636854
-4.50272 0.766937
-4.01996 0.826557
-3.50272 0.94309
-3.01996 0.967484
-2.50272 0.991866
-2.01996 0.991866
-5.0419 0.352295
-4.51604 0.715445
-4.0419 0.859077
-3.51604 0.929539
-3.0419 0.940378
-2.51604 0.940378
-2.0419 0.948509
-1.51604 0.986449
-1.0419 1

% Column data: 
% 1. Normalized time (log(t/t*))
% 2. Volumetric fraction (1-f/f0)
-10.2398 0.0108324
-9.71392 0
-9.23978 0.0108324
-8.71392 0.0108324
-8.5678 0.0216766
-8.23978 0
-8.04187 0.0216766
-7.71392 0.0108324
-7.56772 0.0921402
-7.23978 0.10569
-7.17881 0.108395
-7.04187 0.127366
-6.71392 0.211379
-6.66154 0.224928
-6.56773 0.200535
-6.23978 0.200535
-6.17878 0.344167
-6.04187 0.317069
-6.01998 0.249322
-5.66154 0.471545
-5.56773 0.398365
-5.50272 0.485095
-5.17878 0.541997
-5.0419 0.352295
-5.04187 0.563685
-5.01996 0.636854
-4.66154 0.67208
-4.56773 0.739839
-4.51604 0.715445
-4.50272 0.766937
-4.1874 0.826557
-4.0419 0.859077
-4.01996 0.826557
-3.66154 0.964767
-3.51604 0.929539
-3.50272 0.94309
-3.17878 0.989161
-3.0419 0.940378
-3.01996 0.967484
-2.51604 0.940378
-2.50272 0.991866
-2.0419 0.948509
-2.01996 0.991866
-1.51604 0.986449
-1.0419 1
