% Flood Neural Network. Precipitate Dissolution Model Data File.
% Network architecture: 1:3 :1
% Effective activation energy: 158.47

% Column data: 
% 1. Normalized time data (log(t/t*))
% 2. Vickers hardness data
-10.2398 151.014
-9.71392 151.935
-9.23978 151.014
-8.71392 151.014
-8.23978 151.935
-7.71392 151.014
-7.23978 142.949
-6.71392 133.963
-6.23978 134.885
-8.5678 150.092
-8.04187 150.092
-7.56772 144.101
-7.04187 141.106
-6.56773 134.885
-6.04187 124.977
-5.56773 118.065
-5.04187 104.009
-4.56773 89.032
-7.17881 142.719
-6.66154 132.811
-6.17878 122.673
-5.66154 111.843
-5.17878 105.853
-4.66154 94.793
-4.1874 81.659
-3.66154 69.908
-3.17878 67.834
-6.01998 130.737
-5.50272 110.691
-5.01996 97.788
-4.50272 86.728
-4.01996 81.659
-3.50272 71.751
-3.01996 69.677
-2.50272 67.604
-2.01996 67.604
-5.0419 121.982
-4.51604 91.106
-4.0419 78.894
-3.51604 72.9032
-3.0419 71.9816
-2.51604 71.9816
-2.0419 71.2903
-1.51604 68.0645
-1.0419 66.9124

% Column data: 
% 1. Sorted normalized time data (log(t/t*))
% 2. Sorted Vickers hardness model
-10.2398 151.935
-9.71392 151.935
-9.23978 151.935
-8.71392 151.935
-8.5678 151.935
-8.23978 151.935
-8.04187 151.935
-7.71392 149.219
-7.56772 147.382
-7.23978 142.949
-7.17881 142.077
-7.04187 140.062
-6.71392 134.928
-6.66154 134.068
-6.56773 132.501
-6.23978 126.754
-6.17878 125.64
-6.04187 123.093
-6.01998 122.68
-5.66154 115.69
-5.56773 113.797
-5.50272 112.471
-5.17878 105.711
-5.0419 102.789
-5.04187 102.788
-5.01996 102.318
-4.66154 94.5309
-4.56773 92.4734
-4.51604 91.3378
-4.50272 91.045
-4.1874 84.1125
-4.0419 80.9259
-4.01996 80.4467
-3.66154 72.7028
-3.51604 69.6189
-3.50272 69.3386
-3.17878 66.9124
-3.0419 66.9124
-3.01996 66.9124
-2.51604 66.9124
-2.50272 66.9124
-2.0419 66.9124
-2.01996 66.9124
-1.51604 66.9124
-1.0419 66.9124
